egi_location,bp_location,egi_to_bp_mapping
'E2','Fp1',7
'E3','AF7',10
'E4','AF3',8
'Fp2','F3',9
'Fz','F5',11
'E15','F7',13
'Fp1','FT7',16
'E23','FC5',14
'F3','FC3',12
'E26','C3',15
'E27','C5',17
'E28','T7',19
'F7','CP5',20
'E34','CP3',18
'C3','CP1',22
'E39','P1',26
'E40','P3',25
'E42','P5',21
'T7','P7',24
'E46','PO7',27
'E51','PO3',28
'E53','O1',29
'E55','Oz',31
'P7','POz',30
'E59','CPz',23
'E60','Fpz',6
'E65','Fp2',4
'E66','AF8',1
'O1','AF4',2
'E72','Fz',5
'Oz','F2',3
'E84','F4',51
'E85','F6',50
'E90','F8',49
'E91','FT8',46
'E93','FC6',47
'P8','FC4',48
'E97','FC2',45
'E101','Cz',52
'E102','C2',42
'C4','C4',41
'E105','C6',44
'T8','T8',43
'E109','TP8',39
'E112','CP6',40
'E115','CP4',36
'E116','P2',33
'E117','P4',35
'F8','P6',38
'E123','P8',37
'F4','PO8',34
'Cz','PO4',32
