bp_location,egi_location
Fp1 ,Fp1 
Fp2 ,Fp2 
F7  ,F7  
F3  ,F3  
Fz  ,E5  
F4  ,F4  
F8  ,F8  
FC5 ,E34 
FC1 ,E13 
FC2 ,E112
FC6 ,E116
T7  ,E39 
C3  ,C3  
Cz  ,Cz  
C4  ,C4  
T8  ,E115
TP9 ,E56 
CP5 ,E46 
CP1 ,E53 
CP2 ,E86 
CP6 ,E102
TP10,E107
P7  ,E50 
P3  ,E59 
Pz  ,Pz  
P4  ,E91 
P8  ,E101
PO9 ,E68 
O1  ,O1  
Oz  ,Oz  
O2  ,O2  
PO10,E94 
AF7 ,E26 
AF3 ,E23 
AF4 ,E3  
AF8 ,E2  
F5  ,E27 
F1  ,E19 
F2  ,E4  
F6  ,E123
FT9 ,E43 
FT7 ,E39 
FC3 ,E28 
FC4 ,E117
FT8 ,E115
FT10,E120
C5  ,E40 
C1  ,E30 
C2  ,E105
C6  ,E109
TP7 ,T7  
CP3 ,E42 
CPz ,E55 
CP4 ,E93 
TP8 ,T8  
P5  ,E51 
P1  ,E60 
P2  ,E85 
P6  ,E97 
PO7 ,E65 
PO3 ,E66 
POz ,E76 
PO4 ,E84 
PO8 ,E90 
Fpz,E15
