bp_location,egi_location
Fp1, Fp1
Fp2, Fp2
F7, F7
F3, F3
Fz, Fz
F4, F4
F8, F8
FC5,E34
FC1, E13
FC2, E112
FC6, E116
T7, T7
C3, C3 
Cz, Cz
C4, C4
T8, T8
CP5, E46
CP1, E53
CP2, E86
CP6, E102
P7, P7
P3, P3
Pz, Pz
P4, P4
P8, P8
O1, O1
Oz, Oz
O2, O2 
AF7,E26
AF3, E23
AF4, E3
AF8, E2
F5, E27 
F1, E19
F2, E4
F6, E123
FT7, E39
FC3, E28
FC4, E117
FT8, E115
C5, E40
C1, E30
C2, E105
C6, E109
TP7, E50
CP3, E42
CPz, E55
CP4, E93
TP8, E101
P5, E51
P1, E60
P2, E85
P6, E97
PO7, E65
PO3, E66
POz, E72
PO4, E84
PO8, E90
FPz, E15
